,Transaction_ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
63,64,31/5/23,CUST064,Female,26.0,Clothing,3.0,300.0,900.0
64,65,18/11/23,CUST065,Female,63.0,Beauty,1.0,30.0,30.0
65,66,13/11/23,CUST066,Male,18.0,Clothing,4.0,300.0,1200.0
66,67,5/7/23,CUST067,Male,62.0,Clothing,1.0,50.0,50.0
67,68,23/10/23,CUST068,Male,30.0,Beauty,3.0,50.0,150.0
68,69,9/4/23,CUST069,Male,21.0,Beauty,4.0,50.0,200.0
69,70,27/12/23,CUST070,Male,18.0,Beauty,2.0,50.0,100.0
70,71,5/7/23,CUST071,Female,,Beauty,,,
71,72,5/2/23,CUST072,Male,57.0,Electronics,2.0,25.0,50.0
72,73,24/1/23,CUST073,Male,49.0,Clothing,4.0,25.0,100.0
73,74,5/12/23,CUST074,Male,51.0,Electronics,4.0,500.0,2000.0
74,75,27/4/23,CUST075,Female,45.0,Electronics,1.0,30.0,30.0
75,76,29/5/23,CUST076,Female,48.0,Beauty,4.0,300.0,1200.0
76,77,10/2/23,CUST077,Male,25.0,Electronics,1.0,300.0,300.0
77,78,30/4/23,CUST078,Female,56.0,Beauty,3.0,25.0,75.0
78,79,23/1/23,CUST079,Female,,Electronics,,,
79,80,10/2/23,CUST080,Male,,Clothing,,,
80,81,10/10/23,CUST081,Male,,Clothing,,,
81,82,21/2/23,CUST082,Female,43.0,Clothing,1.0,300.0,300.0
82,83,14/7/23,CUST083,Female,51.0,Beauty,4.0,25.0,100.0
83,84,21/8/23,CUST084,,,Clothing,,,
84,85,23/5/23,CUST085,Female,20.0,Electronics,4.0,500.0,2000.0
85,86,21/8/23,CUST086,Male,29.0,Electronics,3.0,30.0,90.0
86,87,22/11/23,CUST087,Female,18.0,Beauty,4.0,500.0,2000.0
87,88,6/7/23,CUST088,Male,61.0,Beauty,4.0,50.0,200.0
88,89,25/3/23,CUST089,Female,22.0,Electronics,2.0,50.0,100.0
89,90,9/7/23,CUST090,Female,47.0,Clothing,2.0,50.0,100.0
90,91,1/7/23,CUST091,Female,47.0,Clothing,3.0,500.0,1500.0
91,92,18/4/23,CUST092,Male,34.0,Beauty,1.0,300.0,300.0
92,93,10/12/23,CUST093,Female,64.0,Clothing,2.0,30.0,60.0
93,94,17/5/23,CUST094,Male,40.0,Electronics,1.0,50.0,50.0
94,95,26/12/23,CUST095,Female,32.0,Beauty,4.0,50.0,200.0
95,96,16/12/23,CUST096,Male,54.0,Electronics,2.0,50.0,100.0
96,97,28/11/23,CUST097,Female,38.0,Electronics,3.0,30.0,90.0
97,98,6/2/23,CUST098,Male,31.0,Clothing,3.0,50.0,150.0
98,99,8/11/23,CUST099,Male,19.0,Beauty,3.0,30.0,90.0
99,100,22/11/23,CUST100,Female,28.0,Beauty,2.0,50.0,100.0
100,101,29/3/23,CUST101,Male,56.0,Clothing,1.0,500.0,500.0
101,102,1/10/23,CUST102,Female,55.0,Electronics,4.0,500.0,2000.0
102,103,6/5/23,CUST103,Female,51.0,Electronics,1.0,30.0,30.0
103,104,25/3/23,CUST104,Female,55.0,Electronics,1.0,500.0,500.0
104,105,25/8/23,CUST105,Female,51.0,Electronics,4.0,30.0,120.0
105,106,14/7/23,CUST106,Female,35.0,Beauty,4.0,500.0,2000.0
106,107,19/5/23,CUST107,Female,47.0,Beauty,2.0,500.0,1000.0
107,108,24/11/23,CUST108,Female,32.0,Clothing,2.0,30.0,60.0
108,109,19/12/23,CUST109,Female,44.0,Clothing,2.0,300.0,600.0
109,110,13/10/23,CUST110,Female,51.0,Beauty,2.0,500.0,1000.0
110,111,23/4/23,CUST111,Female,55.0,Beauty,2.0,50.0,100.0
111,112,25/7/23,CUST112,Female,,Beauty,,,
112,113,17/12/23,CUST113,Female,50.0,Electronics,4.0,300.0,1200.0
113,114,16/6/23,CUST114,Male,41.0,Electronics,1.0,30.0,30.0
114,115,29/1/23,CUST115,Male,32.0,Clothing,2.0,300.0,600.0
115,116,28/4/23,CUST116,Female,47.0,Beauty,2.0,25.0,50.0
116,117,17/1/23,CUST117,Female,59.0,Clothing,1.0,25.0,25.0
117,118,11/6/23,CUST118,Female,34.0,Beauty,2.0,500.0,1000.0
118,119,25/7/23,CUST119,Female,22.0,Electronics,1.0,500.0,500.0
119,120,11/6/23,CUST120,Female,,,,,
120,121,18/5/23,CUST121,Female,46.0,Clothing,1.0,50.0,50.0
121,122,3/2/23,CUST122,Female,21.0,Clothing,4.0,300.0,1200.0
122,123,19/4/23,CUST123,Female,27.0,Beauty,3.0,25.0,75.0
123,124,18/10/23,CUST124,Female,34.0,Electronics,4.0,500.0,2000.0
124,125,11/6/23,CUST125,Male,27.0,Clothing,3.0,300.0,900.0
125,126,16/5/23,CUST126,Male,,Beauty,,,
126,127,13/3/23,CUST127,Male,,Beauty,,,
127,128,7/5/23,CUST128,Male,,Electronics,,,
128,129,15/10/23,CUST129,Male,,Electronics,,,
129,130,19/4/23,CUST130,Female,34.0,Electronics,3.0,500.0,1500.0
130,131,2/12/23,CUST131,Male,37.0,Clothing,3.0,500.0,1500.0
131,132,13/9/23,CUST132,Female,41.0,Electronics,2.0,25.0,50.0
132,133,22/7/23,CUST133,Female,22.0,Beauty,4.0,25.0,100.0
133,134,26/11/23,CUST134,Male,51.0,Clothing,3.0,500.0,1500.0
134,135,23/8/23,CUST135,Female,23.0,Clothing,1.0,30.0,30.0
135,136,15/3/23,CUST136,Male,19.0,Electronics,2.0,500.0,1000.0
136,137,16/5/23,CUST137,Female,30.0,Electronics,4.0,500.0,2000.0
137,138,13/3/23,CUST138,Female,60.0,Clothing,3.0,50.0,150.0
138,139,7/5/23,CUST139,Male,60.0,Beauty,1.0,50.0,50.0
139,140,15/10/23,CUST140,Female,28.0,Electronics,4.0,50.0,200.0
140,141,3/10/23,CUST141,Male,64.0,Electronics,4.0,30.0,120.0
141,142,15/5/23,CUST142,Female,40.0,Electronics,2.0,30.0,60.0
142,143,27/10/23,CUST143,Male,33.0,Clothing,4.0,500.0,2000.0
143,144,26/10/23,CUST144,Male,,Beauty,,,
144,145,8/8/23,CUST145,Male,48.0,Clothing,2.0,50.0,100.0
145,146,26/10/23,CUST146,Female,28.0,Clothing,3.0,30.0,90.0
146,147,24/7/23,CUST147,Female,33.0,Clothing,2.0,25.0,50.0
147,148,5/7/23,CUST148,Male,25.0,Beauty,1.0,500.0,500.0
148,149,23/4/23,CUST149,Female,21.0,Beauty,2.0,300.0,600.0
149,150,12/3/23,CUST150,Female,57.0,Clothing,1.0,500.0,500.0
150,151,18/9/23,CUST151,Female,21.0,Beauty,2.0,300.0,600.0
151,152,10/9/23,CUST152,Male,42.0,Electronics,4.0,50.0,200.0
152,153,16/2/23,CUST153,Male,20.0,Electronics,3.0,300.0,900.0
153,154,25/1/23,CUST154,Male,49.0,Electronics,1.0,50.0,50.0
154,155,26/2/23,CUST155,Male,20.0,Clothing,2.0,25.0,50.0
155,156,20/3/23,CUST156,Male,44.0,Electronics,2.0,300.0,600.0
156,157,18/11/23,CUST157,Male,46.0,Beauty,2.0,500.0,1000.0
157,158,23/3/23,CUST158,Male,49.0,Clothing,4.0,50.0,200.0
158,159,15/12/23,CUST159,Male,36.0,Beauty,4.0,500.0,2000.0
159,160,5/8/23,CUST160,Male,38.0,Electronics,1.0,30.0,30.0
160,161,2/11/23,CUST161,Female,22.0,Electronics,1.0,50.0,50.0
161,162,2/2/23,CUST162,Male,35.0,Electronics,4.0,300.0,1200.0
162,163,17/7/23,CUST163,Female,45.0,Clothing,1.0,50.0,50.0
163,164,15/7/23,CUST164,Female,59.0,Beauty,3.0,500.0,1500.0
164,165,2/11/23,CUST165,Female,39.0,Clothing,3.0,25.0,75.0
165,166,28/8/23,CUST166,Male,38.0,Clothing,4.0,50.0,200.0
166,167,28/9/23,CUST167,Male,23.0,Electronics,1.0,300.0,300.0
167,168,9/5/23,CUST168,Male,18.0,Clothing,2.0,30.0,60.0
168,169,11/10/23,CUST169,Male,22.0,Clothing,3.0,25.0,75.0
169,170,6/1/23,CUST170,Female,58.0,Electronics,4.0,30.0,120.0
170,171,15/12/23,CUST171,Male,29.0,Clothing,1.0,50.0,50.0
171,172,28/2/23,CUST172,Male,43.0,Electronics,4.0,500.0,2000.0
172,173,16/12/23,CUST173,Male,63.0,Electronics,2.0,500.0,1000.0
173,174,2/10/23,CUST174,Male,51.0,Electronics,3.0,300.0,900.0
174,175,17/5/23,CUST175,Male,31.0,Electronics,4.0,500.0,2000.0
175,176,25/11/23,CUST176,Female,43.0,Clothing,4.0,25.0,100.0
176,177,24/6/23,CUST177,Male,62.0,Electronics,4.0,500.0,2000.0
177,178,27/2/23,CUST178,Female,44.0,Electronics,2.0,300.0,600.0
178,179,31/5/23,CUST179,Male,26.0,Clothing,4.0,50.0,200.0
179,180,11/8/23,CUST180,Female,43.0,Clothing,2.0,50.0,100.0
180,181,22/3/23,CUST181,Male,64.0,Beauty,2.0,500.0,1000.0
181,182,21/8/23,CUST182,Male,39.0,Clothing,2.0,30.0,60.0
182,183,2/1/23,CUST183,Female,64.0,Clothing,3.0,50.0,150.0
183,184,15/5/23,CUST184,Female,47.0,Beauty,3.0,500.0,1500.0
184,185,14/9/23,CUST185,Female,60.0,Clothing,4.0,300.0,1200.0
185,186,2/4/23,CUST186,Male,34.0,Clothing,4.0,500.0,2000.0
186,187,17/9/23,CUST187,Female,43.0,Clothing,3.0,50.0,150.0
187,188,24/2/23,CUST188,Male,53.0,Clothing,1.0,300.0,300.0
188,189,17/11/23,CUST189,Male,18.0,Beauty,3.0,500.0,1500.0
189,190,2/6/23,CUST190,Female,25.0,Clothing,2.0,25.0,50.0
190,191,24/11/23,CUST191,Female,52.0,Clothing,3.0,300.0,900.0
191,192,17/9/23,CUST192,Male,32.0,Beauty,2.0,25.0,50.0
192,193,8/11/23,CUST193,Male,64.0,Electronics,4.0,30.0,120.0
193,194,12/4/23,CUST194,Female,39.0,Beauty,1.0,300.0,300.0
194,195,20/3/23,CUST195,Female,31.0,Electronics,4.0,25.0,100.0
195,196,11/7/23,CUST196,Female,43.0,Beauty,2.0,50.0,100.0
196,197,24/3/23,CUST197,Male,45.0,Beauty,2.0,50.0,100.0
197,198,4/10/23,CUST198,Male,40.0,Clothing,2.0,30.0,60.0
198,199,8/9/23,CUST199,Male,,Beauty,,,
199,200,29/9/23,CUST200,Male,31.0,Electronics,1.0,300.0,300.0
200,201,1/1/23,CUST201,Male,41.0,Clothing,3.0,300.0,900.0
201,202,3/11/23,CUST202,Male,19.0,Electronics,4.0,300.0,1200.0
202,203,15/6/23,CUST203,Male,62.0,Beauty,4.0,30.0,120.0
203,204,8/9/23,CUST204,Female,43.0,Beauty,3.0,300.0,900.0
204,205,10/1/23,CUST205,Male,31.0,Electronics,4.0,50.0,200.0
205,206,27/2/23,CUST206,Male,24.0,Clothing,1.0,25.0,25.0
206,207,5/7/23,CUST207,Male,20.0,Clothing,4.0,50.0,200.0
207,208,7/6/23,CUST208,Female,64.0,Clothing,2.0,50.0,100.0
208,209,3/5/23,CUST209,Male,40.0,Clothing,3.0,25.0,75.0
209,210,30/1/23,CUST210,Male,63.0,Beauty,1.0,50.0,50.0
210,211,4/5/23,CUST211,Female,60.0,Beauty,3.0,30.0,90.0
211,212,18/10/23,CUST212,Male,64.0,Beauty,1.0,25.0,25.0
212,213,30/1/23,CUST213,Male,,Beauty,,,
213,214,10/2/23,CUST214,Male,62.0,Beauty,2.0,50.0,100.0
214,215,13/2/23,CUST215,Male,35.0,Beauty,3.0,500.0,1500.0
215,216,6/9/23,CUST216,Male,55.0,Clothing,4.0,50.0,200.0
216,217,5/2/23,CUST217,Male,52.0,Clothing,1.0,30.0,30.0
217,218,30/9/23,CUST218,Female,32.0,Clothing,3.0,300.0,900.0
218,219,6/3/23,CUST219,Female,42.0,Clothing,4.0,50.0,200.0
219,220,7/3/23,CUST220,Female,54.0,Beauty,3.0,300.0,900.0
220,221,4/12/23,CUST221,Male,45.0,Beauty,3.0,500.0,1500.0
221,222,1/9/23,CUST222,Male,27.0,Beauty,3.0,50.0,150.0
222,223,9/10/23,CUST223,Male,56.0,Electronics,1.0,25.0,25.0
223,224,26/3/23,CUST224,Female,34.0,Clothing,4.0,300.0,1200.0
224,225,16/5/23,CUST225,Male,56.0,Clothing,2.0,500.0,1000.0
225,226,28/9/23,CUST226,Male,39.0,Beauty,1.0,25.0,25.0
226,227,7/11/23,CUST227,Female,43.0,Clothing,1.0,25.0,25.0
227,228,5/8/23,CUST228,Male,61.0,Clothing,1.0,25.0,25.0
228,229,19/4/23,CUST229,Female,42.0,Beauty,2.0,25.0,50.0
229,230,4/10/23,CUST230,Female,34.0,Electronics,4.0,50.0,200.0
230,231,20/12/23,CUST231,Female,30.0,Electronics,4.0,50.0,200.0
231,232,13/4/23,CUST232,Male,37.0,Electronics,4.0,50.0,200.0
232,233,1/1/24,CUST233,Male,42.0,Beauty,3.0,500.0,1500.0
233,234,9/6/23,CUST234,Male,21.0,Clothing,3.0,500.0,1500.0
234,235,24/7/23,CUST235,Male,27.0,Beauty,3.0,500.0,1500.0
235,236,10/12/23,CUST236,Male,20.0,Beauty,2.0,30.0,60.0
236,237,20/12/23,CUST237,Male,,Beauty,,,
237,238,29/11/23,CUST238,Male,58.0,Clothing,3.0,500.0,1500.0
238,239,11/7/23,CUST239,Male,62.0,Electronics,2.0,50.0,100.0
239,240,13/8/23,CUST240,Female,35.0,Electronics,4.0,50.0,200.0
240,241,22/9/23,CUST241,Male,64.0,Beauty,3.0,30.0,90.0
241,242,20/8/23,CUST242,Female,53.0,Electronics,3.0,30.0,90.0
242,243,3/3/23,CUST243,Male,64.0,Beauty,1.0,500.0,500.0
243,244,7/5/23,CUST244,Male,39.0,Beauty,2.0,300.0,600.0
244,245,26/4/23,CUST245,Male,51.0,Clothing,4.0,30.0,120.0
245,246,2/2/23,CUST246,Female,64.0,Clothing,1.0,25.0,25.0
246,247,23/6/23,CUST247,Female,25.0,Clothing,1.0,50.0,50.0
247,248,11/1/23,CUST248,Female,57.0,Beauty,4.0,25.0,100.0
248,249,29/10/23,CUST249,Female,61.0,Clothing,1.0,50.0,50.0
249,250,11/10/23,CUST250,Male,36.0,Electronics,2.0,50.0,100.0
250,251,28/4/23,CUST251,Female,59.0,Electronics,2.0,30.0,60.0
251,252,29/10/23,CUST252,Male,58.0,Beauty,3.0,30.0,90.0
252,253,23/4/23,CUST253,Male,54.0,Beauty,1.0,25.0,25.0
253,254,4/1/23,CUST254,Female,23.0,Clothing,3.0,50.0,150.0
254,255,6/2/23,CUST255,Female,43.0,Beauty,1.0,25.0,25.0
255,256,29/12/23,CUST256,Female,51.0,Beauty,2.0,300.0,600.0
256,257,20/11/23,CUST257,Female,62.0,Electronics,2.0,25.0,50.0
257,258,31/1/23,CUST258,Female,23.0,Electronics,2.0,500.0,1000.0
258,259,28/4/23,CUST259,Female,54.0,Clothing,1.0,25.0,25.0
259,260,4/2/23,CUST260,Female,50.0,Beauty,2.0,500.0,1000.0
260,261,17/1/23,CUST261,Female,39.0,Beauty,1.0,500.0,500.0
261,262,19/6/23,CUST262,Male,38.0,Electronics,3.0,500.0,1500.0
262,263,6/2/23,CUST263,Female,23.0,Beauty,1.0,300.0,300.0
263,264,21/9/23,CUST264,Female,23.0,Electronics,3.0,25.0,75.0
264,265,2/5/23,CUST265,Male,21.0,Clothing,1.0,25.0,25.0
265,266,23/5/23,CUST266,Female,47.0,Electronics,3.0,300.0,900.0
266,267,9/12/23,CUST267,Male,28.0,Beauty,2.0,50.0,100.0
267,268,6/9/23,CUST268,Male,47.0,Clothing,3.0,30.0,90.0
268,269,20/4/23,CUST269,Female,48.0,Electronics,2.0,25.0,50.0
269,270,4/10/23,CUST270,Male,41.0,Electronics,2.0,30.0,60.0
270,271,9/3/23,CUST271,Male,26.0,Clothing,3.0,300.0,900.0
271,272,20/10/23,CUST272,Male,20.0,Clothing,1.0,50.0,50.0
272,273,23/10/23,CUST273,Male,48.0,Electronics,1.0,50.0,50.0
273,274,31/8/23,CUST274,Female,57.0,Beauty,4.0,50.0,200.0
274,275,5/5/23,CUST275,Male,54.0,Electronics,1.0,300.0,300.0
275,276,31/8/23,CUST276,Female,53.0,Clothing,4.0,500.0,2000.0
276,277,28/7/23,CUST277,Male,41.0,Electronics,1.0,500.0,500.0
277,278,8/4/23,CUST278,Male,48.0,Clothing,1.0,30.0,30.0
278,279,18/2/23,CUST279,Male,23.0,Clothing,2.0,500.0,1000.0
279,280,19/2/23,CUST280,Male,19.0,Beauty,4.0,500.0,2000.0
280,281,4/12/23,CUST281,Female,37.0,Clothing,1.0,50.0,50.0
281,282,9/8/23,CUST282,Female,45.0,Clothing,4.0,50.0,200.0
282,283,1/7/23,CUST283,Male,28.0,Beauty,2.0,30.0,60.0
283,284,5/8/23,CUST284,Male,21.0,Clothing,2.0,25.0,50.0
284,285,30/7/23,CUST285,Female,32.0,Beauty,4.0,30.0,120.0
285,286,28/8/23,CUST286,Male,23.0,Beauty,2.0,30.0,60.0
286,287,28/1/23,CUST287,Male,47.0,Clothing,3.0,300.0,900.0
287,288,11/12/23,CUST288,Male,55.0,Clothing,3.0,300.0,900.0
288,289,1/12/23,CUST289,Female,19.0,Electronics,2.0,30.0,60.0
289,290,27/11/23,CUST290,Female,32.0,Beauty,3.0,30.0,90.0
290,291,26/7/23,CUST291,Male,,Beauty,,,
291,292,20/2/23,CUST292,Female,28.0,Electronics,1.0,30.0,30.0
292,293,1/2/23,CUST293,Male,25.0,Clothing,4.0,500.0,2000.0
293,294,26/7/23,CUST294,Male,43.0,Electronics,1.0,300.0,300.0
294,295,23/6/23,CUST295,Female,62.0,Beauty,4.0,30.0,120.0
295,296,25/2/23,CUST296,Female,61.0,Electronics,2.0,50.0,100.0
296,297,8/5/23,CUST297,Female,22.0,Beauty,1.0,50.0,50.0
297,298,9/4/23,CUST298,Female,23.0,Clothing,2.0,500.0,1000.0
298,299,8/4/23,CUST299,Male,43.0,Clothing,2.0,500.0,1000.0
299,300,2/10/23,CUST300,Female,21.0,Beauty,4.0,25.0,100.0
300,301,18/8/23,CUST301,Male,36.0,Clothing,4.0,25.0,100.0
301,302,13/3/23,CUST302,Female,37.0,Clothing,4.0,25.0,100.0
302,303,5/8/23,CUST303,Male,50.0,Clothing,1.0,500.0,500.0
303,304,4/4/23,CUST304,Female,37.0,Clothing,3.0,500.0,1500.0
304,305,23/5/23,CUST305,Female,29.0,Beauty,4.0,500.0,2000.0
305,306,25/8/23,CUST306,Female,64.0,Electronics,4.0,50.0,200.0
306,307,8/5/23,CUST307,Female,18.0,Electronics,1.0,500.0,500.0
307,308,8/2/23,CUST308,Male,43.0,Clothing,4.0,50.0,200.0
308,309,8/2/23,CUST309,Male,,Clothing,,,
309,310,15/8/23,CUST310,Female,31.0,Electronics,1.0,25.0,25.0
310,311,9/10/23,CUST311,Male,55.0,Electronics,2.0,25.0,50.0
311,312,20/2/23,CUST312,Male,54.0,Clothing,4.0,25.0,100.0
312,313,26/1/23,CUST313,Male,28.0,Clothing,4.0,30.0,120.0
313,314,30/11/23,CUST314,Male,53.0,Electronics,2.0,30.0,60.0
314,315,4/10/23,CUST315,Female,30.0,Beauty,2.0,300.0,600.0
315,316,8/1/23,CUST316,Male,60.0,Clothing,2.0,300.0,600.0
316,317,17/2/23,CUST317,Male,20.0,Beauty,4.0,300.0,1200.0
317,318,2/5/23,CUST318,Male,50.0,Electronics,3.0,30.0,90.0
318,319,27/3/23,CUST319,Female,23.0,Clothing,3.0,30.0,90.0
319,320,28/7/23,CUST320,Female,27.0,Beauty,3.0,300.0,900.0
320,321,6/9/23,CUST321,Female,22.0,Clothing,4.0,300.0,1200.0
321,322,4/9/23,CUST322,Female,40.0,Electronics,2.0,500.0,1000.0
322,323,20/4/23,CUST323,Male,27.0,Beauty,4.0,300.0,1200.0
323,324,25/7/23,CUST324,Male,61.0,Electronics,2.0,500.0,1000.0
324,325,31/1/23,CUST325,Female,19.0,Electronics,4.0,50.0,200.0
325,326,26/3/23,CUST326,Male,30.0,Clothing,4.0,30.0,120.0
326,327,14/7/23,CUST327,Male,57.0,Beauty,2.0,300.0,600.0
327,328,2/1/23,CUST328,Male,19.0,Electronics,3.0,30.0,90.0
328,329,20/4/23,CUST329,Male,,Clothing,,,
329,330,25/7/23,CUST330,Male,,Clothing,,,
330,331,19/7/23,CUST331,Female,37.0,Electronics,2.0,30.0,60.0
331,332,16/5/23,CUST332,Female,18.0,Beauty,1.0,30.0,30.0
332,333,21/8/23,CUST333,Male,54.0,Electronics,1.0,50.0,50.0
333,334,27/5/23,CUST334,Female,26.0,Electronics,2.0,25.0,50.0
334,335,5/8/23,CUST335,Female,34.0,Beauty,4.0,300.0,1200.0
335,336,23/12/23,CUST336,Female,26.0,Beauty,1.0,25.0,25.0
336,337,12/10/23,CUST337,Female,28.0,Beauty,1.0,25.0,25.0
337,338,5/12/23,CUST338,Female,32.0,Beauty,4.0,25.0,100.0
338,339,7/9/23,CUST339,Male,41.0,Clothing,4.0,30.0,120.0
339,340,21/3/23,CUST340,Female,55.0,Beauty,3.0,500.0,1500.0
340,341,8/4/23,CUST341,Male,52.0,Clothing,4.0,30.0,120.0
341,342,1/6/23,CUST342,Male,47.0,Clothing,2.0,30.0,60.0
342,343,22/4/23,CUST343,Female,48.0,Clothing,2.0,25.0,50.0
343,344,30/1/23,CUST344,Male,22.0,Electronics,3.0,30.0,90.0
344,345,24/10/23,CUST345,Male,61.0,Clothing,1.0,25.0,25.0
345,346,5/10/23,CUST346,Male,31.0,Clothing,1.0,500.0,500.0
346,347,1/2/23,CUST347,Female,28.0,Electronics,4.0,300.0,1200.0
347,348,10/6/23,CUST348,Female,26.0,Electronics,2.0,25.0,50.0
348,349,30/1/23,CUST349,Male,51.0,Electronics,1.0,500.0,500.0
349,350,26/1/23,CUST350,Female,29.0,Beauty,3.0,300.0,900.0
350,351,27/10/23,CUST351,Female,52.0,Electronics,3.0,50.0,150.0
351,352,2/9/23,CUST352,Female,52.0,Electronics,2.0,25.0,50.0
352,353,15/9/23,CUST353,Female,18.0,Clothing,3.0,25.0,75.0
353,354,29/9/23,CUST354,Male,57.0,Electronics,3.0,50.0,150.0
354,355,22/3/23,CUST355,Male,39.0,Beauty,2.0,50.0,100.0
355,356,30/1/23,CUST356,Female,,Clothing,,,
356,357,30/1/23,CUST357,Female,46.0,Electronics,4.0,25.0,100.0
357,358,18/9/23,CUST358,Female,25.0,Beauty,4.0,50.0,200.0
358,359,11/2/23,CUST359,Male,28.0,Electronics,3.0,30.0,90.0
359,360,6/4/23,CUST360,Male,58.0,Electronics,4.0,300.0,1200.0
360,361,5/2/23,CUST361,Female,54.0,Electronics,4.0,300.0,1200.0
361,362,1/11/23,CUST362,Male,31.0,Electronics,3.0,300.0,900.0
